 4.26 3.888 3.016 2.676 3.148
 4.134 5.67 6.784 6.823 6.468
 6.405 6.878 7.041 7.675 8.833
 9.997 9.398 7.216 5.242 4.972
 5.86 7.433 8.38 8.0 6.524
 5.487 5.441 5.678 5.637 6.374
 7.884 9.044 8.96 7.857 6.943
 6.695 7.354 8.787 9.978 10.551
 10.185 9.805 8.989 8.596 8.732
 10.139 12.545 13.994 14.158 12.283
 10.569 9.304 9.413 10.493 11.781
 12.078 11.02 9.132 7.507 7.255
 7.623 8.068 7.259 5.021 2.162
 -0.729 -2.595 -3.044 -1.79 0.565
 2.179 2.972 3.07 3.063 2.407
 2.382 3.52 5.143 6.171 5.735
 4.833 4.321 4.47 5.085 6.072
 7.691 9.025 8.953 7.821 6.801
 6.617 6.957 6.955 6.823
 1.365 2.199 3.155 3.894 3.901
 4.097 4.969 5.998 7.006 7.405
 7.868 7.805 7.302 6.59 6.251
 6.13 6.375 6.748 7.2 7.348
 7.211 6.808 7.609 8.435 9.454
 8.359 7.16 6.238 5.905 5.843
 6.461 8.133 9.976 11.948 13.379
 13.545 12.718 11.808 11.424 11.372
 11.615 10.689 8.309 4.169 0.062
 -2.119 -2.091 -0.034 2.515 5.408
 7.434 7.722 6.353 4.771 4.184
 2.78 0.024 -3.911 -6.738 -7.604
 -7.034 -6.419 -5.435 -4.265 -3.323
 -2.789 -2.547 -1.768 -0.849 0.228
 1.467 2.847 2.829 2.981 3.372
 3.962 3.62 2.858 2.721 3.334
 4.113 5.128 5.887 6.025 6.103
 6.301 6.741 6.65 7.205 8.34
 9.327 8.418 6.029 4.301 4.341
 5.523 6.989 7.767 7.206 5.903
 4.93 5.274 5.781 6.078 6.745
 8.049 9.138 9.036 7.936 7.086
 7.07 8.062 9.944 11.419 12.175
 11.753 11.524 10.995 10.771 10.856
 12.24 14.461 15.534 15.188 12.881
 10.993 9.518 9.665 10.821 11.932
 11.825 10.306 8.358 6.768 6.489
 6.961 7.266 5.948 3.111 0.125
 -2.146 -3.206 -2.97 -1.473 0.705
 2.218 2.995 2.993 2.636 1.888
 1.902 3.083 4.661 5.699 5.465
 4.627 3.867 3.883 4.63 6.184
 7.956 9.246 9.602 9.184 8.867
 8.216 7.989 7.681 7.904
 0.888 1.077 1.646 2.296 2.489
 3.074 4.246 5.276 5.909 5.857
 6.01 6.014 5.922 5.701 5.516
 5.17 4.833 4.483 4.354 4.651
 5.275 5.718 6.638 6.685 6.63
 5.187 3.958 2.951 2.208 2.741
 4.245 6.528 7.934 9.114 9.997
 10.566 11.035 11.386 11.42 10.858
 9.895 8.035 5.957 3.422 1.474
 0.455 0.597 1.911 3.581 5.48
 6.825 6.911 6.333 5.746 5.421
 4.525 2.325 -1.024 -4.504 -6.441
 -6.517 -5.908 -4.767 -3.889 -3.577
 -3.87 -4.268 -3.903 -2.992 -1.742
 -0.25 1.209 1.448 1.673 2.226
 2.888 2.904 2.623 2.676 2.889
 2.754 2.804 3.178 3.723 4.611
 5.227 5.544 5.123 5.132 5.553
 5.676 4.624 3.037 2.57 3.354
 4.648 5.376 5.304 4.269 3.321
 2.965 4.025 4.911 5.41 5.507
 5.966 6.586 6.699 6.424 6.451
 6.869 7.602 8.769 9.704 10.326
 10.208 10.528 10.938 11.314 11.54
 12.131 13.147 13.303 12.507 10.664
 9.503 8.742 8.833 9.076 9.082
 8.196 6.712 5.666 5.174 5.392
 5.531 4.931 2.959 0.334 -1.884
 -3.077 -3.508 -2.913 -1.42 0.243
 1.277 1.804 1.752 1.329 0.767
 0.819 1.736 2.775 3.49 3.481
 3.103 2.552 2.661 3.515 5.249
 6.843 8.075 8.306 7.881 7.488
 6.858 6.679 6.255 6.433
 -0.606 -0.87 -0.316 0.481 1.088
 2.059 3.28 4.064 4.33 4.148
 4.359 4.669 5.085 5.212 4.821
 3.747 2.646 2.052 1.999 2.555
 3.35 4.08 4.804 4.33 3.18
 1.236 0.079 -0.497 -0.824 0.125
 1.906 4.108 4.944 5.527 6.126
